date,	user,	location,	latitude,	longitude
Noticias de Coln HN,"Coln, Honduras",15.6391768,-85.35496499999999,"{'lat': 15.6391768, 'lng': -85.35496499999999}"
Peridico Venezolano,Venezuela,6.42375,-66.58973,"{'lat': 6.42375, 'lng': -66.58973}"
El Trece Paraguay,Paraguay,-23.442503,-58.443832,"{'lat': -23.442503, 'lng': -58.443832}"
Genesis G Parra R.,Venezuela,6.42375,-66.58973,"{'lat': 6.42375, 'lng': -66.58973}"
Ali,Lambar-Paraguay,-25.3458154,-57.60990989999999,"{'lat': -25.3458154, 'lng': -57.60990989999999}"
El Trece Paraguay,Paraguay,-23.442503,-58.443832,"{'lat': -23.442503, 'lng': -58.443832}"
Juan Bomben,Argentina,-38.416097,-63.61667199999999,"{'lat': -38.416097, 'lng': -63.61667199999999}"
Celular Lider,Av 23 de Enero Barinas,8.6215365,-70.2290027,"{'lat': 8.6215365, 'lng': -70.2290027}"
InfoRedChiapas,Chiapas,16.3224417,-91.7910619,"{'lat': 16.3224417, 'lng': -91.7910619}"
Celular Lider,Av 23 de Enero Barinas,8.6215365,-70.2290027,"{'lat': 8.6215365, 'lng': -70.2290027}"
Celular Lider,Av 23 de Enero Barinas,8.6215365,-70.2290027,"{'lat': 8.6215365, 'lng': -70.2290027}"
Virus Chikungunya,(CDC) Washington,38.8649217,-77.0045538,"{'lat': 38.8649217, 'lng': -77.0045538}"
Celular Lider,Av 23 de Enero Barinas,8.6215365,-70.2290027,"{'lat': 8.6215365, 'lng': -70.2290027}"
Aventura 91.3 Fm,Maracaibo; Estado Zulia ,10.633333,-71.633333,"{'lat': 10.633333, 'lng': -71.633333}"
Salvador Snchez C.,Sal del ncleo pap,10.633333,-71.633333,"{'lat': 10.633333, 'lng': -71.633333}"
Capitn Turcios,El Salvador,13.794185,-88.89653,"{'lat': 13.794185, 'lng': -88.89653}"
Celular Lider,Av 23 de Enero Barinas,8.6215365,-70.2290027,"{'lat': 8.6215365, 'lng': -70.2290027}"
Consejo de la Salud,VIlla Mara - Pcia. de Crdoba,37.35250509999999,-4.3315095,"{'lat': 37.35250509999999, 'lng': -4.3315095}"
Gobierno Municipal,,37.35250509999999,-4.3315095,"{'lat': 37.35250509999999, 'lng': -4.3315095}"
IndependentMediaNews,London,51.5073509,-0.1277583,"{'lat': 51.5073509, 'lng': -0.1277583}"
David Garcia R.,Tapachula Chiapas ,14.9055567,-92.26341359999999,"{'lat': 14.9055567, 'lng': -92.26341359999999}"
171 Tchira,Pueblo Nuevo. San Cristbal. ,16.8050538,-96.6807788,"{'lat': 16.8050538, 'lng': -96.6807788}"
harianbhirawa,Surabaya,-7.2574719,112.7520883,"{'lat': -7.2574719, 'lng': 112.7520883}"
Aventura 91.3 Fm,Maracaibo; Estado Zulia ,10.633333,-71.633333,"{'lat': 10.633333, 'lng': -71.633333}"
Quadratin Chiapas,"Tapachula, Chiapas, Mxico",14.9055567,-92.26341359999999,"{'lat': 14.9055567, 'lng': -92.26341359999999}"
Virus Chikungunya,(CDC) Washington,38.8649217,-77.0045538,"{'lat': 38.8649217, 'lng': -77.0045538}"
Virus Chikungunya,(CDC) Washington,38.8649217,-77.0045538,"{'lat': 38.8649217, 'lng': -77.0045538}"
CORPAUL,Medellin (Colombia),6.230833,-75.59055599999999,"{'lat': 6.230833, 'lng': -75.59055599999999}"
El care chimba,Villavicencio ,4.149999999999999,-73.633333,"{'lat': 4.149999999999999, 'lng': -73.633333}"
