screen_name,tweet_id,datetime,date,time,latitude,longitude,content
cb_anyl,6.62863E+17,11/7/15 5:22,11/07/15,5:22,37.31972222,-121.8683333,"Let's watch a  game!#sanjose #state #spartans #sjsu #vs #byu #cougars #football @sjsuathletics @ https://t.co/EIZETimzkb"
RuNNiNG_SuPLaDo,6.62863E+17,11/7/15 5:22,11/07/15,5:22,14.55383479,121.0520112,Learning the proper way of kicking and handling the ball with Football Coaches Charlie Sutcliffe and https://t.co/FSnoLsqJMC
marshmizzle10,6.62863E+17,11/7/15 5:22,11/07/15,5:22,34.348491,-83.893257,my boys' last football game  @ Chestatee High School https://t.co/5HkZNSkln4
AlaskaPeak,6.62863E+17,11/7/15 5:23,11/07/15,5:23,61.1605835,-149.9069214,"Football  speed, strength, and conditioning training has begun!  Let's get after it romo_76 https://t.co/av6dkdNRyN"
shanemjestes,6.62863E+17,11/7/15 5:23,11/07/15,5:23,40.95072777,-81.47150536,"@morgan_suponcic and I just love clowning around, especially on the football field!  @ Green https://t.co/GLwQ9pKfGK"
Houston_CP,6.62863E+17,11/7/15 5:24,11/07/15,5:24,29.75523769,-95.3618441,Undefeated UH football still trying to earn respect in local sports landscape: The Cougars are r... Sports KHOU https://t.co/xXiTmTklz8
ScrExito,6.62863E+17,11/7/15 5:24,11/07/15,5:24,35.02381664,135.8551119,"#rits #moriyama #football #best4 #keepthedream @  https://t.co/zdoZf7l4yt"
JoelPerezVargas,6.62864E+17,11/7/15 5:26,11/07/15,5:26,36.7177618,-97.07724763,Amazing Way To End Our 2015-2016 Season Of Ponca City Wildcat Football &amp; For Our Seniors. Big Win https://t.co/KXJ2ZjKrAg
WikiATH,6.62864E+17,11/7/15 5:27,11/07/15,5:27,0.50023454,117.5328511,"futsal STIENUS SANGATTA CUP 2015 -------------#football #ball #pass #TagsForLikes.com https://t.co/V3ttkcVcGq"
timswyf,6.62864E+17,11/7/15 5:28,11/07/15,5:28,34.21642236,-119.0084607,Camarillo High school football team was on fire tonight @ Adolfo https://t.co/VDsKACECPz
abigailrosie_,6.62865E+17,11/7/15 5:29,11/07/15,5:29,34.26367393,-86.20693946,"Couldn't be more more depressed that football season is over, and yet I https://t.co/FxReiSg0R1"
ScottieBMusic,6.62865E+17,11/7/15 5:30,11/07/15,5:30,37.69971006,-121.0051028,So proud of this guy and the Varsity Football team of BVCS! We beat Millennium 15-14!!! #golions https://t.co/b5nQRdbdaC
victoriadwinal,6.62865E+17,11/7/15 5:30,11/07/15,5:30,40.04783442,-105.0164133,"I can't believe it was our last high school football game!  Tobias, I'm https://t.co/d6WH6aO4Ag"
ynnmedianetwork,6.62865E+17,11/7/15 5:32,11/07/15,5:32,36.09438718,-115.0949708,Kmarkos #NFL DraftKings Tournament Picks  Week 9 https://t.co/owao7tmKZh https://t.co/EFEFwS0jig
murfdawgie,6.62865E+17,11/7/15 5:32,11/07/15,5:32,38.72739866,-121.2591269,"Wait, our youngest is a senior?!?  #whendidthathappen #babyofthefamily @ Oakmomt High School Football https://t.co/ISjGKTdw8u"
sassyfry,6.62865E+17,11/7/15 5:33,11/07/15,5:33,32.91271868,-97.54065609,"WE ARE SQUAD GOALS Friends, Football, &amp; Fun is all that's needed @ Azle High School Football https://t.co/dxx3iUkfhh"
GabeWeldon,6.62866E+17,11/7/15 5:33,11/07/15,5:33,30.81627403,-92.6550956,"""Warrior's"" for life... @ Oakdale Warrior Football Field https://t.co/m3H5JP2NbD"
rachc1218,6.62866E+17,11/7/15 5:34,11/07/15,5:34,32.9129136,-97.54040406,"So sad to have watched this sweet girls last high school football game, https://t.co/nNzK8m77KT"
