screen_name,tweet_id,da,date,time,latitude,longitude,content
,663025269863809026,2015-11-07 16:08:37,2015-11-07,16:08:37,1.64878,103.611362,2nd day bootcamp (@ Tornado Cyber Cafe) https://t.co/isBmhWUQ8e
Erica,663021035084783620,2015-11-07 15:51:47,2015-11-07,15:51:47,32.92944444,-97.11194444,about a day ago this one snapchatted me from inside her pantry thinking a tornado was gonna get her https://t.co/uS4ucEMFpV
eca,663019685894619136,2015-11-07 15:46:26,2015-11-07,15:46:26,-6.20353,106.60848,"Kalo disuruh milih naek tornado 10x sm naek perahu ini..gw milih naek tornado..
#candid #latepost https://t.co/ruy2HSDYOR"
AlfonsoE7,663001685506326530,2015-11-07 14:34:54,2015-11-07,14:34:54,40.41142866,-3.75074703, #tornado @ Parque de Atracciones https://t.co/nhbfxnKFfk
AUTUMN QUEEN,662996150635659264,2015-11-07 14:12:54,2015-11-07,14:12:54,51.0787654,1.1838283,Oil workers film tornado in North Dakota - https://t.co/81O0k1yVMo
Len Pestana,662994298774929409,2015-11-07 14:05:33,2015-11-07,14:05:33,37.61628808,-122.38610744,And we're out of here!!  Didn't quite get the tornado going.... https://t.co/UyNRVCCG4d https://t.co/AYGpO1vNCu
only_vegas,662952184372469760,2015-11-07 11:18:12,2015-11-07,11:18:12,56.6331,47.8833,)   )     https://t.co/ksjSo1C3kf
Negraa,662931216354684928,2015-11-07 09:54:53,2015-11-07,09:54:53,-34.49374512,-58.58361576,Que bien te portaste Tornado !
Negraa,662929455522947076,2015-11-07 09:47:53,2015-11-07,09:47:53,-34.49359443,-58.58362573,Recin de ese Tornado ! 
Pendoloveamore,662910425051357184,2015-11-07 08:32:16,2015-11-07,08:32:16,33.99079279,-118.46653726,That vain moment when you encounter a half a tornado but you  just had to have your #Beyonc moment https://t.co/A5nJKTx2jr
,662910242762674176,2015-11-07 08:31:32,2015-11-07,08:31:32,13.99518412,100.67554593,"I'm at Tornado () in Thanyaburi, Pathum Thani https://t.co/ne7mAml7Dh"
puteghi,662901042053578752,2015-11-07 07:54:59,2015-11-07,07:54:59,3.06449289,101.48532245,Tornado tube  @ ICT Water World Theme Park https://t.co/07o2VvoR98
Emre Aa,662894170592444416,2015-11-07 07:27:40,2015-11-07,07:27:40,41.0730867,28.99127593,"I'm at stanbul Bilgi niversitesi - @bilgiofficial in stanbul, Trkiye https://t.co/3liNYpaPxI"
aizz,662890654226321408,2015-11-07 07:13:42,2015-11-07,07:13:42,3.06449289,101.48532245,Tornado tube with @aeyuuu . Seram namatey ! @ ICT Water World Theme Park https://t.co/Dw7vaE6kx4
ipah,662855307635257344,2015-11-07 04:53:15,2015-11-07,04:53:15,-6.12383,106.83234,"Ayoooo dupan, siapa yang mau gabung, selanjutnya tornado. Hahaha (with putri at Dunia Fantasi (DUFAN)) [pic]  https://t.co/iZ4ew84PF1"
putri friskila,662830473152888832,2015-11-07 03:14:34,2015-11-07,03:14:34,-6.12319,106.83549,"Happy (with tasya, caca, and linda  at Dufan wanaha Tornado)  https://t.co/NF0GzT7OKf"
Detroit CP,662817015455813632,2015-11-07 02:21:05,2015-11-07,02:21:05,42.33312717,-83.04848769,"After heavy winds on Friday, cooler temps expected https://t.co/2HheLXUUSY"
charli whaley,662815815373312000,2015-11-07 02:16:19,2015-11-07,02:16:19,35.79148357,-83.97935438,this rebel loves this tornado  @ Alcoa High School Football Stadium https://t.co/FUH22GkujW
Dallas CP,662812483069972480,2015-11-07 02:03:05,2015-11-07,02:03:05,32.79755357,-96.77401775,Prelim info about the EF-0 tornado that moved across parts of Tarrant Co. yesterday: dfwwx https://t.co/fVdgIEJkP2
Dallas CP,662804746265231360,2015-11-07 01:32:20,2015-11-07,01:32:20,32.79755357,-96.77401775,NWS confirms tornado hit Fort Worth https://t.co/fJhkII0AnP
Dallas CP,662804743606026240,2015-11-07 01:32:19,2015-11-07,01:32:19,32.79755357,-96.77401775,Construction workers helped move debris off cars after Fort Worth tornado https://t.co/yUFWFpEf9b
Houston Press,662803273099976704,2015-11-07 01:26:29,2015-11-07,01:26:29,29.75523769,-95.3618441,National Weather Service increases confirmed Halloween tornado count on from six to 11! https://t.co/hyhnXlubng
patrice of shit,662783738787446784,2015-11-07 00:08:51,2015-11-07,00:08:51,33.23140437,-97.13768243,THIS IS WAY SCARIER THAN SOME TORNADO @ Kroger https://t.co/J3dbwEQoPM
Dallas Trends,662773564781694977,2015-11-06 23:28:26,2015-11-06,23:28:26,32.7781,-96.7954,'Tornado Watch' appeared on Thursday 5 at the 16th place in the Top20 of Dallas-Ft. Worth's Trends: https://t.co/PWGt46BdEa #trndnl
Anna Julia,662773556061818881,2015-11-06 23:28:24,2015-11-06,23:28:24,-22.89206963,-47.02752396,Obrigada por terem tornado o meu dia muito mais especial!!! Vocs so os https://t.co/o8HEn4k5Fg
Austin Press,662765443770220544,2015-11-06 22:56:10,2015-11-06,22:56:10,30.26960519,-97.74361687,NWS Fort Worth confirms tornado touched down Thursday afternoon north of Fort Worth https://t.co/SUzd79dMxs
Vape & Smoke Shop #2,662752926553780224,2015-11-06 22:06:25,2015-11-06,22:06:25,26.0271185,-80.2490236,#Helix concentrate vape attachments and kits! #concentrate #710 #vapeallday #tornado #spiral #swirl #vss2 https://t.co/2pnFw24x50
Tabitha Hawk,662729960201699328,2015-11-06 20:35:10,2015-11-06,20:35:10,34.26000072,-88.67969708,First time to Elvis's birthplace. Last time I was in Tupelo I was watching a tornado... https://t.co/dMNQNhi0je https://t.co/OnwEZ3m4L3
Carrie King,662721103459020800,2015-11-06 19:59:58,2015-11-06,19:59:58,40.65,-73.95,"""She was chaos and beauty intertwined. A tornado of roses from divine."" 
- Shakieb Orgunwall https://t.co/nixrWdfIid"
Fort Worth CP,662716094147198976,2015-11-06 19:40:04,2015-11-06,19:40:04,32.72791305,-97.31947022,"Fort Worth tornado rated EF-0, packed 80-90 mph winds dfwwx txwx https://t.co/vfemLAuNxr"
Mondo Crociere,662713002597183488,2015-11-06 19:27:47,2015-11-06,19:27:47,37.1047,-102.578,"regram discoverearth
Tornado in Campo, Colorado
By Brandon Goforth @tornadotitans @ Campo, Colorado https://t.co/OE46O6K01M"
IEMBot PHI,662704017718444032,2015-11-06 18:52:04,2015-11-06,18:52:04,40.3785,-75.96525,"READING/SPAATZ FLD,PA (RDG) ASOS reports Tornado"
Houston Press,662690687872200704,2015-11-06 17:59:06,2015-11-06,17:59:06,29.75523769,-95.3618441,NWS confirms tornado hit Fort Worth Texas https://t.co/D71Tn4Y7TH
Tonnie Lubanga,662676770387308544,2015-11-06 17:03:48,2015-11-06,17:03:48,1.4868949,33.9318821,"""Tempers escalating and a small storm turns into a full-scale tornado that sweeps all our good intentions away"". #UGDecides 2016..."
FidyaMaudynaHarun,662662389515599873,2015-11-06 16:06:39,2015-11-06,16:06:39,-6.12328698,106.83172102,Ekspersi abis turun dari tornado @ Dunia Fantasi (DUFAN) - Taman Impian https://t.co/aXbj6RBpCN
Monica Hernandez,662648509250691072,2015-11-06 15:11:30,2015-11-06,15:11:30,32.82303,-97.309064,JUST IN: National Weather Service confirms at least an EF-0 tornado hit N FW. 85-90 mph winds #wfaaweather #TXWX https://t.co/fDg9JAwqFh
